scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
early outbreak,long,10,outbreak,1,1,,4000,1.29,635,0.15875,8,1,0.00025,0.5
early outbreak,medium,10,outbreak,2,1,,4000,1.03,121,0.03025,6,2,5e-04,0.2
early outbreak,short,10,outbreak,3,1,,4000,1.01,0,0,5,9,0.00225,0.2
late outbreak,long,10,outbreak,4,1,,4000,1,0,0,4,79,0.01975,0.3
late outbreak,medium,10,outbreak,5,1,,4000,1,0,0,3,1671,0.41775,0.3
late outbreak,short,10,outbreak,6,1,,4000,1,5,0.00125,4,7,0.00175,0.2
near peak,long,10,outbreak,7,1,,4000,1,0,0,4,83,0.02075,0.2
near peak,medium,10,outbreak,8,1,,4000,1,0,0,4,103,0.02575,0.2
near peak,short,10,outbreak,9,1,,4000,1.01,0,0,4,70,0.0175,0.3
past peak,long,10,outbreak,10,1,,4000,1,0,0,4,24,0.006,0.2
past peak,medium,10,outbreak,11,1,,4000,1,0,0,4,92,0.023,0.2
past peak,short,10,outbreak,12,1,,4000,1,0,0,4,100,0.025,0.2
early outbreak,long,100,outbreak,13,1,,4000,1,0,0,3,1650,0.4125,0.4
early outbreak,medium,100,outbreak,14,1,,4000,1,23,0.00575,4,89,0.02225,0.4
early outbreak,short,100,outbreak,15,1,,4000,1,0,0,3,1617,0.40425,0.4
late outbreak,long,100,outbreak,16,1,,4000,1,0,0,3,1587,0.39675,0.6
late outbreak,medium,100,outbreak,17,1,,4000,1,0,0,3,1586,0.3965,0.5
late outbreak,short,100,outbreak,18,1,,4000,1,0,0,3,1532,0.383,0.6
near peak,long,100,outbreak,19,1,,4000,1,0,0,3,1642,0.4105,0.5
near peak,medium,100,outbreak,20,1,,4000,1,0,0,3,1455,0.36375,0.5
near peak,short,100,outbreak,21,1,,4000,1,0,0,3,1439,0.35975,0.5
past peak,long,100,outbreak,22,1,,4000,1,0,0,3,1553,0.38825,0.6
past peak,medium,100,outbreak,23,1,,4000,1,0,0,3,1674,0.4185,0.5
past peak,short,100,outbreak,24,1,,4000,1,0,0,3,1550,0.3875,0.6
early outbreak,long,200,outbreak,25,1,,4000,1.01,0,0,3,1571,0.39275,0.5
early outbreak,medium,200,outbreak,26,1,,4000,1,0,0,3,1524,0.381,0.4
early outbreak,short,200,outbreak,27,1,,4000,1,148,0.037,4,176,0.044,0.5
late outbreak,long,200,outbreak,28,1,,4000,1,0,0,4,7,0.00175,0.9
late outbreak,medium,200,outbreak,29,1,,4000,1,0,0,3,1623,0.40575,0.9
late outbreak,short,200,outbreak,30,1,,4000,1,0,0,3,1430,0.3575,0.9
near peak,long,200,outbreak,31,1,,4000,1,0,0,3,1477,0.36925,0.7
near peak,medium,200,outbreak,32,1,,4000,1,0,0,3,1594,0.3985,0.7
near peak,short,200,outbreak,33,1,,4000,1,0,0,3,1490,0.3725,0.7
past peak,long,200,outbreak,34,1,,4000,1,0,0,3,1551,0.38775,0.9
past peak,medium,200,outbreak,35,1,,4000,1,0,0,3,1583,0.39575,0.8
past peak,short,200,outbreak,36,1,,4000,1,0,0,3,1454,0.3635,0.8
early outbreak,long,400,outbreak,37,1,,4000,1,0,0,3,1633,0.40825,0.7
early outbreak,medium,400,outbreak,38,1,,4000,1,0,0,3,1505,0.37625,0.7
early outbreak,short,400,outbreak,39,1,,4000,1,0,0,3,1572,0.393,0.6
late outbreak,long,400,outbreak,40,1,,4000,1,0,0,3,1693,0.42325,1.5
late outbreak,medium,400,outbreak,41,1,,4000,1,0,0,3,1619,0.40475,1.5
late outbreak,short,400,outbreak,42,1,,4000,1,0,0,3,1527,0.38175,1.5
near peak,long,400,outbreak,43,1,,4000,1,0,0,3,1559,0.38975,1.2
near peak,medium,400,outbreak,44,1,,4000,1,0,0,3,1508,0.377,1.2
near peak,short,400,outbreak,45,1,,4000,1,0,0,3,1477,0.36925,1.1
past peak,long,400,outbreak,46,1,,4000,1,0,0,3,1635,0.40875,1.5
past peak,medium,400,outbreak,47,1,,4000,1,0,0,3,1562,0.3905,1.5
past peak,short,400,outbreak,48,1,,4000,1,0,0,4,1,0.00025,1.5
decay,long,200,exponential,49,1,,4000,1,0,0,3,1530,0.3825,0.9
decay,long,200,exponential,50,2,,4000,1,0,0,3,1700,0.425,0.8
decay,long,200,exponential,51,3,,4000,1,0,0,3,1535,0.38375,0.8
decay,long,200,exponential,52,4,,4000,1,0,0,3,1386,0.3465,0.7
decay,long,200,exponential,53,5,,4000,1,0,0,3,1620,0.405,0.9
decay,long,200,exponential,54,6,,4000,1,0,0,3,1631,0.40775,0.9
decay,long,200,exponential,55,7,,4000,1,0,0,3,1638,0.4095,0.9
decay,long,200,exponential,56,8,,4000,1,0,0,3,1643,0.41075,0.9
decay,long,200,exponential,57,9,,4000,1,0,0,3,1499,0.37475,0.9
decay,long,200,exponential,58,10,,4000,1,0,0,3,1563,0.39075,0.8
decay,long,200,exponential,59,11,,4000,1,0,0,3,1616,0.404,0.8
decay,long,200,exponential,60,12,,4000,1,0,0,3,1633,0.40825,0.9
decay,long,200,exponential,61,13,,4000,1,0,0,3,1605,0.40125,0.8
decay,long,200,exponential,62,14,,4000,1,0,0,3,1616,0.404,0.8
decay,long,200,exponential,63,15,,4000,1,0,0,3,1677,0.41925,0.9
decay,long,200,exponential,64,16,,4000,1,0,0,3,1571,0.39275,0.9
decay,long,200,exponential,65,17,,4000,1,0,0,3,1587,0.39675,0.9
decay,long,200,exponential,66,18,,4000,1,0,0,3,1361,0.34025,0.8
decay,long,200,exponential,67,19,,4000,1,0,0,3,1584,0.396,0.8
decay,long,200,exponential,68,20,,4000,1,0,0,3,1581,0.39525,0.9
decay,medium,200,exponential,69,1,,4000,1,0,0,3,1685,0.42125,0.9
decay,medium,200,exponential,70,2,,4000,1,0,0,3,1567,0.39175,0.9
decay,medium,200,exponential,71,3,,4000,1,0,0,3,1432,0.358,0.9
decay,medium,200,exponential,72,4,,4000,1,0,0,3,1574,0.3935,0.9
decay,medium,200,exponential,73,5,,4000,1,0,0,3,1504,0.376,0.9
decay,medium,200,exponential,74,6,,4000,1,0,0,3,1536,0.384,0.9
decay,medium,200,exponential,75,7,,4000,1,0,0,3,1621,0.40525,0.7
decay,medium,200,exponential,76,8,,4000,1,0,0,3,1570,0.3925,0.8
decay,medium,200,exponential,77,9,,4000,1,0,0,3,1864,0.466,0.8
decay,medium,200,exponential,78,10,,4000,1,0,0,3,1614,0.4035,0.9
decay,medium,200,exponential,79,11,,4000,1,0,0,3,1407,0.35175,0.7
decay,medium,200,exponential,80,12,,4000,1,0,0,3,1519,0.37975,0.9
decay,medium,200,exponential,81,13,,4000,1,0,0,3,1543,0.38575,0.8
decay,medium,200,exponential,82,14,,4000,1,0,0,3,1528,0.382,0.8
decay,medium,200,exponential,83,15,,4000,1,0,0,3,1726,0.4315,0.9
decay,medium,200,exponential,84,16,,4000,1,0,0,3,1638,0.4095,0.9
decay,medium,200,exponential,85,17,,4000,1,0,0,3,1674,0.4185,0.9
decay,medium,200,exponential,86,18,,4000,1,0,0,3,1661,0.41525,0.9
decay,medium,200,exponential,87,19,,4000,1,0,0,3,1499,0.37475,0.9
decay,medium,200,exponential,88,20,,4000,1,0,0,3,1427,0.35675,0.8
decay,short,200,exponential,89,1,,4000,1,0,0,3,1443,0.36075,0.9
decay,short,200,exponential,90,2,,4000,1,0,0,3,1665,0.41625,0.8
decay,short,200,exponential,91,3,,4000,1,0,0,3,1408,0.352,0.8
decay,short,200,exponential,92,4,,4000,1,0,0,3,1456,0.364,0.8
decay,short,200,exponential,93,5,,4000,1,0,0,3,1420,0.355,0.9
decay,short,200,exponential,94,6,,4000,1,0,0,3,1450,0.3625,0.8
decay,short,200,exponential,95,7,,4000,1,0,0,3,1536,0.384,0.9
decay,short,200,exponential,96,8,,4000,1,0,0,3,1501,0.37525,0.9
decay,short,200,exponential,97,9,,4000,1,0,0,3,1499,0.37475,0.8
decay,short,200,exponential,98,10,,4000,1,0,0,3,1356,0.339,0.8
decay,short,200,exponential,99,11,,4000,1,0,0,3,1514,0.3785,0.8
decay,short,200,exponential,100,12,,4000,1,0,0,3,1414,0.3535,0.9
decay,short,200,exponential,101,13,,4000,1,0,0,3,1627,0.40675,0.9
decay,short,200,exponential,102,14,,4000,1,0,0,3,1418,0.3545,0.8
decay,short,200,exponential,103,15,,4000,1,0,0,3,1478,0.3695,0.8
decay,short,200,exponential,104,16,,4000,1,0,0,3,1552,0.388,0.9
decay,short,200,exponential,105,17,,4000,1,0,0,3,1554,0.3885,0.9
decay,short,200,exponential,106,18,,4000,1,0,0,3,1577,0.39425,0.9
decay,short,200,exponential,107,19,,4000,1,0,0,3,1620,0.405,0.9
decay,short,200,exponential,108,20,,4000,1,0,0,3,1505,0.37625,0.8
fast decay,long,200,exponential,109,1,,4000,1,0,0,3,1529,0.38225,0.9
fast decay,long,200,exponential,110,2,,4000,1,0,0,3,1614,0.4035,0.9
fast decay,long,200,exponential,111,3,,4000,1,0,0,3,1483,0.37075,0.9
fast decay,long,200,exponential,112,4,,4000,1,0,0,3,1652,0.413,0.8
fast decay,long,200,exponential,113,5,,4000,1,0,0,3,1566,0.3915,0.9
fast decay,long,200,exponential,114,6,,4000,1,0,0,3,1610,0.4025,0.9
fast decay,long,200,exponential,115,7,,4000,1,0,0,3,1598,0.3995,0.9
fast decay,long,200,exponential,116,8,,4000,1,0,0,3,1537,0.38425,0.9
fast decay,long,200,exponential,117,9,,4000,1,0,0,3,1523,0.38075,0.8
fast decay,long,200,exponential,118,10,,4000,1,0,0,3,1537,0.38425,0.9
fast decay,long,200,exponential,119,11,,4000,1,0,0,3,1595,0.39875,0.8
fast decay,long,200,exponential,120,12,,4000,1,0,0,3,1837,0.45925,0.9
fast decay,long,200,exponential,121,13,,4000,1,0,0,3,1637,0.40925,0.9
fast decay,long,200,exponential,122,14,,4000,1,0,0,3,1529,0.38225,0.9
fast decay,long,200,exponential,123,15,,4000,1,0,0,3,1442,0.3605,0.9
fast decay,long,200,exponential,124,16,,4000,1,0,0,3,1586,0.3965,0.8
fast decay,long,200,exponential,125,17,,4000,1,0,0,3,1582,0.3955,0.9
fast decay,long,200,exponential,126,18,,4000,1,0,0,3,1530,0.3825,0.8
fast decay,long,200,exponential,127,19,,4000,1,0,0,3,1586,0.3965,0.9
fast decay,long,200,exponential,128,20,,4000,1,0,0,3,1432,0.358,0.8
fast decay,medium,200,exponential,129,1,,4000,1,0,0,3,1615,0.40375,0.9
fast decay,medium,200,exponential,130,2,,4000,1,0,0,3,1539,0.38475,0.9
fast decay,medium,200,exponential,131,3,,4000,1,0,0,3,1552,0.388,0.9
fast decay,medium,200,exponential,132,4,,4000,1,0,0,3,1558,0.3895,0.9
fast decay,medium,200,exponential,133,5,,4000,1,0,0,3,1530,0.3825,0.9
fast decay,medium,200,exponential,134,6,,4000,1,0,0,3,1626,0.4065,0.9
fast decay,medium,200,exponential,135,7,,4000,1,0,0,3,1563,0.39075,0.9
fast decay,medium,200,exponential,136,8,,4000,1,0,0,3,1571,0.39275,0.9
fast decay,medium,200,exponential,137,9,,4000,1,0,0,3,1341,0.33525,0.8
fast decay,medium,200,exponential,138,10,,4000,1,0,0,3,1661,0.41525,0.9
fast decay,medium,200,exponential,139,11,,4000,1,0,0,3,1689,0.42225,0.9
fast decay,medium,200,exponential,140,12,,4000,1,0,0,3,1519,0.37975,0.9
fast decay,medium,200,exponential,141,13,,4000,1,0,0,3,1691,0.42275,0.9
fast decay,medium,200,exponential,142,14,,4000,1,0,0,3,1518,0.3795,0.9
fast decay,medium,200,exponential,143,15,,4000,1,0,0,3,1569,0.39225,0.9
fast decay,medium,200,exponential,144,16,,4000,1,0,0,3,1586,0.3965,0.9
